repo_name,year,matched_historical_panel,collaboration_niche,issues_opened,issues_closed_during_window,issues_open_at_cutoff,issue_flow_balance,prs_opened,prs_closed_during_window,prs_open_at_cutoff,pr_flow_balance,issue_unresolved_90d_share,pr_unresolved_90d_share,pr_merged_90d_share,push_actors,actors_for_50pct_pushes,top_5_actor_share
microsoft/agent-framework,2026,no,agent_framework,1925,1944,381,-19,2742,2596,129,146,0.205414,0.042442,0.687791,24,4,0.665259
microsoft/onnxruntime,2024,yes,model_infra,979,573,100,406,1849,1753,29,96,0.568882,0.081818,0.82562,85,9,0.350212
microsoft/onnxruntime,2025,yes,model_infra,745,2310,97,-1565,1818,2034,87,-216,0.436853,0.067797,0.786798,64,6,0.45957
microsoft/onnxruntime,2026,yes,model_infra,647,670,181,-23,2437,1924,555,513,0.190361,0.163787,0.681443,51,6,0.499119
milvus-io/milvus,2024,yes,agent_runtime_infra,1877,1709,85,168,3787,3787,3,0,0.160901,0.00515,0.811159,6,2,0.985437
milvus-io/milvus,2025,yes,agent_runtime_infra,1657,1726,82,-69,2684,2720,4,-36,0.14351,0.00838,0.867039,7,1,0.980952
milvus-io/milvus,2026,yes,agent_runtime_infra,1933,1754,509,179,4220,3781,334,439,0.125749,0.030226,0.732652,10,2,0.935294
mlflow/mlflow,2024,yes,model_infra,471,265,181,206,1719,1651,44,68,0.515901,0.048913,0.815217,31,3,0.720078
mlflow/mlflow,2025,yes,model_infra,588,430,167,158,2653,2520,75,133,0.423208,0.058187,0.828823,21,3,0.75
mlflow/mlflow,2026,yes,model_infra,813,954,251,-141,4837,4707,263,130,0.335329,0.046723,0.72965,22,2,0.863179
multica-ai/multica,2024,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
multica-ai/multica,2025,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
multica-ai/multica,2026,no,agent_framework,2401,1575,818,826,5334,4215,579,1119,0.258893,0.129652,0.669068,5,2,1.0
n8n-io/n8n,2024,yes,agent_framework,355,302,0,53,2080,2074,4,6,0.310345,0.027515,0.877042,30,4,0.573454
n8n-io/n8n,2025,yes,agent_framework,3190,2832,38,358,3387,3164,28,223,0.16087,0.074134,0.75974,50,1,0.672558
